Reaction.Time,Tempo
1.1670417786,140 bpm
1.1672589779,140 bpm
1.1790091991,140 bpm
1.1822052002,140 bpm
1.1831450462,140 bpm
1.183216095,140 bpm
1.1833150387,140 bpm
1.1833810806,140 bpm
1.1833839417,140 bpm
1.1834499836,140 bpm
1.183465004,140 bpm
1.1835360527,140 bpm
1.1844580174,140 bpm
1.1958649159,140 bpm
1.1983242035,140 bpm
1.1999349594,140 bpm
1.1999781132,140 bpm
1.2000100613,140 bpm
1.2000398636,140 bpm
1.2000551224,140 bpm
1.2000730038,140 bpm
1.2001230717,140 bpm
1.2144539356,140 bpm
1.2165300846,140 bpm
1.2166340351,140 bpm
1.2166361809,140 bpm
1.2166888714,140 bpm
1.2166910172,140 bpm
1.2167470455,140 bpm
1.2167639732,140 bpm
1.2167701721,140 bpm
1.216807127,140 bpm
1.2168688774,140 bpm
1.2189559937,140 bpm
1.2226319313,140 bpm
1.2322831154,140 bpm
1.2333350182,140 bpm
1.2333590984,140 bpm
1.233383894,140 bpm
1.233424902,140 bpm
1.233440876,140 bpm
1.2334439755,140 bpm
1.2334899902,140 bpm
1.241494894,140 bpm
1.2479410172,140 bpm
1.2493541241,140 bpm
1.2498219013,140 bpm
1.2499229908,140 bpm
1.250273943,140 bpm
1.2516798973,140 bpm
1.2665629387,140 bpm
1.2666361332,140 bpm
1.2666370869,140 bpm
1.2666418552,140 bpm
1.2666621208,140 bpm
1.2667210102,140 bpm
1.2667999268,140 bpm
1.2668528557,140 bpm
1.2671029568,140 bpm
1.2730250359,140 bpm
1.2746701241,140 bpm
1.2747209072,140 bpm
1.2776319981,140 bpm
1.2787599564,140 bpm
1.2824189663,140 bpm
1.2831099033,140 bpm
1.2832751274,140 bpm
1.2833259106,140 bpm
1.2833731175,140 bpm
1.2834591866,140 bpm
1.2836267948,140 bpm
1.2837650776,140 bpm
1.2838749886,140 bpm
1.2987248898,140 bpm
1.3000268936,140 bpm
1.3001589775,140 bpm
1.3001968861,140 bpm
1.3002080917,140 bpm
1.3087599278,140 bpm
1.3108398914,140 bpm
1.315112114,140 bpm
1.3154611588,140 bpm
1.3162550926,140 bpm
1.3165178299,140 bpm
1.316576004,140 bpm
1.316701889,140 bpm
1.3167209625,140 bpm
1.3167350292,140 bpm
1.3167631626,140 bpm
1.31676507,140 bpm
1.3168609142,140 bpm
1.32512784,140 bpm
1.3295748234,140 bpm
1.3296980858,140 bpm
1.3332741261,140 bpm
1.3334200382,140 bpm
1.3334469795,140 bpm
1.3335549831,140 bpm
1.3345730305,140 bpm
1.34187603,140 bpm
1.3441700935,140 bpm
1.3452548981,140 bpm
1.3498589993,140 bpm
1.3499550819,140 bpm
1.3499670029,140 bpm
1.3500218391,140 bpm
1.3500511646,140 bpm
1.3500790596,140 bpm
1.3500850201,140 bpm
1.3502299786,140 bpm
1.3502659798,140 bpm
1.3626489639,140 bpm
1.3635540009,140 bpm
1.3661670685,140 bpm
1.3667159081,140 bpm
1.3667230606,140 bpm
1.3668599129,140 bpm
1.3668909073,140 bpm
1.3753569126,140 bpm
1.3791749477,140 bpm
1.3832688332,140 bpm
1.3833680153,140 bpm
1.38342309,140 bpm
1.383493185,140 bpm
1.3837749958,140 bpm
1.3845140934,140 bpm
1.391985178,140 bpm
1.4000360966,140 bpm
1.4027371407,140 bpm
1.4166557789,140 bpm
1.4173769951,140 bpm
1.417858839,140 bpm
1.4298169613,140 bpm
1.4314050674,140 bpm
1.4315581322,140 bpm
1.4325430393,140 bpm
1.4328827858,140 bpm
1.4333248138,140 bpm
1.4335560799,140 bpm
1.4454798698,140 bpm
1.4498450756,140 bpm
1.4500079155,140 bpm
1.4500341415,140 bpm
1.4661669731,140 bpm
1.4665071964,140 bpm
1.4665930271,140 bpm
1.4667029381,140 bpm
1.4669079781,140 bpm
1.4669718742,140 bpm
1.4670779705,140 bpm
1.4675078392,140 bpm
1.4686598778,140 bpm
1.4821329117,140 bpm
1.4826829433,140 bpm
1.4831528664,140 bpm
1.4833881855,140 bpm
1.4834871292,140 bpm
1.4983160496,140 bpm
1.498842001,140 bpm
1.4991531372,140 bpm
1.4993460178,140 bpm
1.4993641377,140 bpm
1.4996681213,140 bpm
1.4997730255,140 bpm
1.4999551773,140 bpm
1.499984026,140 bpm
1.5014569759,140 bpm
1.5048189163,140 bpm
1.5103769302,140 bpm
1.5166079998,140 bpm
1.5166521072,140 bpm
1.5166740418,140 bpm
1.5167968273,140 bpm
1.5169870853,140 bpm
1.5172550678,140 bpm
1.5292899609,140 bpm
1.5329291821,140 bpm
1.533041954,140 bpm
1.5332379341,140 bpm
1.5388360024,140 bpm
1.5497009754,140 bpm
