Reaction.Time,Tempo 
1.013932943,100 bpm
1.015938997,100 bpm
1.048787832,100 bpm
1.082897902,100 bpm
1.084020138,100 bpm
1.097374916,100 bpm
1.09919095,100 bpm
1.115214109,100 bpm
1.115486145,100 bpm
1.11621809,100 bpm
1.117037058,100 bpm
1.117840052,100 bpm
1.149044037,100 bpm
1.166007996,100 bpm
1.166095972,100 bpm
1.181418896,100 bpm
1.331900835,100 bpm
1.347243786,100 bpm
1.381978989,100 bpm
1.416666985,100 bpm
1.559921026,100 bpm
1.733505011,100 bpm
0.983428955,100 bpm
1.083679914,100 bpm
1.050194025,100 bpm
1.133453846,100 bpm
1.149973154,100 bpm
1.166960955,100 bpm
1.183636189,100 bpm
1.199838161,100 bpm
1.199856997,100 bpm
1.21671319,100 bpm
1.216801167,100 bpm
1.250386,100 bpm
1.300041914,100 bpm
1.300312042,100 bpm
1.333166122,100 bpm
1.383425951,100 bpm
1.616729975,100 bpm
1.666618109,100 bpm
1.666797161,100 bpm
1.783545017,100 bpm
1.949947834,100 bpm
1.983304024,100 bpm
2.18330884,100 bpm
2.250039101,100 bpm
2.383347988,100 bpm
4.149329901,100 bpm
0.883339167,100 bpm
0.916503906,100 bpm
0.933230162,100 bpm
0.949948072,100 bpm
0.950031996,100 bpm
0.966336012,100 bpm
0.966596842,100 bpm
1.00019598,100 bpm
1.000276089,100 bpm
1.000280857,100 bpm
1.017124891,100 bpm
1.033711195,100 bpm
1.083611965,100 bpm
1.099808931,100 bpm
1.100362062,100 bpm
1.116729021,100 bpm
1.216822863,100 bpm
1.233512163,100 bpm
1.400331974,100 bpm
1.626005888,100 bpm
1.767037153,100 bpm
1.93334198,100 bpm
1.11687398,100 bpm
1.216643095,100 bpm
1.233165979,100 bpm
1.266737938,100 bpm
1.283301115,100 bpm
1.299997091,100 bpm
1.366656065,100 bpm
1.383270979,100 bpm
1.416804075,100 bpm
1.483287096,100 bpm
1.483551979,100 bpm
1.633359909,100 bpm
1.734729052,100 bpm
2.100239038,100 bpm
2.166481972,100 bpm
2.200157881,100 bpm
2.216747046,100 bpm
2.21687007,100 bpm
2.283440113,100 bpm
2.433331966,100 bpm
2.800088882,100 bpm
2.899765968,100 bpm
2.899873018,100 bpm
5.029501915,100 bpm
0.966425896,100 bpm
